location,date,age_group_min,age_group_max,people_vaccinated_per_hundred
Liechtenstein,2021-03-28,40,49,2.65
Liechtenstein,2021-03-28,50,59,3.7
Liechtenstein,2021-03-28,60,69,3.63
Liechtenstein,2021-03-28,70,79,51.28
Liechtenstein,2021-03-28,80,,85.02
Liechtenstein,2021-04-04,0,9,0.03
Liechtenstein,2021-04-04,10,19,0.34
Liechtenstein,2021-04-04,20,29,2.19
Liechtenstein,2021-04-04,30,39,1.84
Liechtenstein,2021-04-04,40,49,2.67
Liechtenstein,2021-04-04,50,59,3.81
Liechtenstein,2021-04-04,60,69,3.75
Liechtenstein,2021-04-04,70,79,64.51
Liechtenstein,2021-04-04,80,,86.08
Liechtenstein,2021-04-11,0,9,0.03
Liechtenstein,2021-04-11,10,19,0.41
Liechtenstein,2021-04-11,20,29,2.23
Liechtenstein,2021-04-11,30,39,1.9
Liechtenstein,2021-04-11,40,49,2.76
Liechtenstein,2021-04-11,50,59,4.03
Liechtenstein,2021-04-11,60,69,4.41
Liechtenstein,2021-04-11,70,79,69.91
Liechtenstein,2021-04-11,80,,86.39
Liechtenstein,2021-04-18,0,9,0.03
Liechtenstein,2021-04-18,10,19,0.57
Liechtenstein,2021-04-18,20,29,2.94
Liechtenstein,2021-04-18,30,39,3.27
Liechtenstein,2021-04-18,40,49,4.83
Liechtenstein,2021-04-18,50,59,8.56
Liechtenstein,2021-04-18,60,69,15.35
Liechtenstein,2021-04-18,70,79,79.45
Liechtenstein,2021-04-18,80,,87.01
Liechtenstein,2021-04-25,0,9,0.03
Liechtenstein,2021-04-25,10,19,0.93
Liechtenstein,2021-04-25,20,29,6.8
Liechtenstein,2021-04-25,30,39,7.03
Liechtenstein,2021-04-25,40,49,8.99
Liechtenstein,2021-04-25,50,59,12.57
Liechtenstein,2021-04-25,60,69,34.69
Liechtenstein,2021-04-25,70,79,81.37
Liechtenstein,2021-04-25,80,,87.63
Liechtenstein,2021-05-02,0,9,0.03
Liechtenstein,2021-05-02,10,19,1.26
Liechtenstein,2021-05-02,20,29,9.19
Liechtenstein,2021-05-02,30,39,10.26
Liechtenstein,2021-05-02,40,49,13.84
Liechtenstein,2021-05-02,50,59,17.66
Liechtenstein,2021-05-02,60,69,38.64
Liechtenstein,2021-05-02,70,79,81.43
Liechtenstein,2021-05-02,80,,87.82
Liechtenstein,2021-05-09,0,9,0.03
Liechtenstein,2021-05-09,10,19,1.7
Liechtenstein,2021-05-09,20,29,12.45
Liechtenstein,2021-05-09,30,39,12.95
Liechtenstein,2021-05-09,40,49,17.19
Liechtenstein,2021-05-09,50,59,22.16
Liechtenstein,2021-05-09,60,69,43.96
Liechtenstein,2021-05-09,70,79,83.34
Liechtenstein,2021-05-09,80,,88.88
Liechtenstein,2021-05-16,0,9,0.03
Liechtenstein,2021-05-16,10,19,1.91
Liechtenstein,2021-05-16,20,29,14.57
Liechtenstein,2021-05-16,30,39,14.55
Liechtenstein,2021-05-16,40,49,19.47
Liechtenstein,2021-05-16,50,59,24.99
Liechtenstein,2021-05-16,60,69,46.19
Liechtenstein,2021-05-16,70,79,83.63
Liechtenstein,2021-05-16,80,,88.94
Liechtenstein,2021-05-23,0,9,0.03
Liechtenstein,2021-05-23,10,19,2.37
Liechtenstein,2021-05-23,20,29,17.31
Liechtenstein,2021-05-23,30,39,16.81
Liechtenstein,2021-05-23,40,49,22.48
Liechtenstein,2021-05-23,50,59,28.74
Liechtenstein,2021-05-23,60,69,50.04
Liechtenstein,2021-05-23,70,79,84.47
Liechtenstein,2021-05-23,80,,89.5
Liechtenstein,2021-05-30,0,9,0.03
Liechtenstein,2021-05-30,10,19,3.3
Liechtenstein,2021-05-30,20,29,20.7
Liechtenstein,2021-05-30,30,39,20.28
Liechtenstein,2021-05-30,40,49,26.97
Liechtenstein,2021-05-30,50,59,34.07
Liechtenstein,2021-05-30,60,69,53.95
Liechtenstein,2021-05-30,70,79,84.71
Liechtenstein,2021-05-30,80,,89.68
Liechtenstein,2021-06-06,0,9,0.05
Liechtenstein,2021-06-06,10,19,4.36
Liechtenstein,2021-06-06,20,29,26.77
Liechtenstein,2021-06-06,30,39,25.09
Liechtenstein,2021-06-06,40,49,33.73
Liechtenstein,2021-06-06,50,59,41.39
Liechtenstein,2021-06-06,60,69,59.55
Liechtenstein,2021-06-06,70,79,85.37
Liechtenstein,2021-06-06,80,,89.99
Liechtenstein,2021-06-13,0,9,0.05
Liechtenstein,2021-06-13,10,19,6.47
Liechtenstein,2021-06-13,20,29,34.66
Liechtenstein,2021-06-13,30,39,32.4
Liechtenstein,2021-06-13,40,49,43.7
Liechtenstein,2021-06-13,50,59,50.73
Liechtenstein,2021-06-13,60,69,65.39
Liechtenstein,2021-06-13,70,79,85.64
Liechtenstein,2021-06-13,80,,90.3
Liechtenstein,2021-06-20,0,9,0.05
Liechtenstein,2021-06-20,10,19,7.56
Liechtenstein,2021-06-20,20,29,42.03
Liechtenstein,2021-06-20,30,39,39.9
Liechtenstein,2021-06-20,40,49,52.86
Liechtenstein,2021-06-20,50,59,58.89
Liechtenstein,2021-06-20,60,69,69.38
Liechtenstein,2021-06-20,70,79,85.72
Liechtenstein,2021-06-20,80,,90.49
Liechtenstein,2021-06-27,0,9,0.05
Liechtenstein,2021-06-27,10,19,11.04
Liechtenstein,2021-06-27,20,29,43.65
Liechtenstein,2021-06-27,30,39,41.52
Liechtenstein,2021-06-27,40,49,54.37
Liechtenstein,2021-06-27,50,59,60.18
Liechtenstein,2021-06-27,60,69,70.12
Liechtenstein,2021-06-27,70,79,85.72
Liechtenstein,2021-06-27,80,,90.49
Liechtenstein,2021-07-04,0,9,0.05
Liechtenstein,2021-07-04,10,19,11.74
Liechtenstein,2021-07-04,20,29,46.51
Liechtenstein,2021-07-04,30,39,44.23
Liechtenstein,2021-07-04,40,49,56.82
Liechtenstein,2021-07-04,50,59,62.65
Liechtenstein,2021-07-04,60,69,71.27
Liechtenstein,2021-07-04,70,79,86.01
Liechtenstein,2021-07-04,80,,90.55
Liechtenstein,2021-07-11,0,9,0.05
Liechtenstein,2021-07-11,10,19,13.9
Liechtenstein,2021-07-11,20,29,48.45
Liechtenstein,2021-07-11,30,39,45.65
Liechtenstein,2021-07-11,40,49,58.35
Liechtenstein,2021-07-11,50,59,64.07
Liechtenstein,2021-07-11,60,69,72.07
Liechtenstein,2021-07-11,70,79,86.13
Liechtenstein,2021-07-11,80,,90.8
Liechtenstein,2021-07-18,0,9,0.05
Liechtenstein,2021-07-18,10,19,14.37
Liechtenstein,2021-07-18,20,29,50.35
Liechtenstein,2021-07-18,30,39,47.41
Liechtenstein,2021-07-18,40,49,59.54
Liechtenstein,2021-07-18,50,59,65.51
Liechtenstein,2021-07-18,60,69,73.03
Liechtenstein,2021-07-18,70,79,86.45
Liechtenstein,2021-07-18,80,,91.11
Liechtenstein,2021-07-25,0,9,0.05
Liechtenstein,2021-07-25,10,19,14.65
Liechtenstein,2021-07-25,20,29,50.55
Liechtenstein,2021-07-25,30,39,47.58
Liechtenstein,2021-07-25,40,49,59.58
Liechtenstein,2021-07-25,50,59,65.57
Liechtenstein,2021-07-25,60,69,73.07
Liechtenstein,2021-07-25,70,79,86.45
Liechtenstein,2021-07-25,80,,91.11
Liechtenstein,2021-08-01,0,9,0.05
Liechtenstein,2021-08-01,10,19,14.68
Liechtenstein,2021-08-01,20,29,50.61
Liechtenstein,2021-08-01,30,39,47.64
Liechtenstein,2021-08-01,40,49,59.58
Liechtenstein,2021-08-01,50,59,65.59
Liechtenstein,2021-08-01,60,69,73.11
Liechtenstein,2021-08-01,70,79,86.48
Liechtenstein,2021-08-01,80,,91.11
Liechtenstein,2021-08-08,0,9,0.05
Liechtenstein,2021-08-08,10,19,14.68
Liechtenstein,2021-08-08,20,29,50.64
Liechtenstein,2021-08-08,30,39,47.64
Liechtenstein,2021-08-08,40,49,59.58
Liechtenstein,2021-08-08,50,59,65.6
Liechtenstein,2021-08-08,60,69,73.11
Liechtenstein,2021-08-08,70,79,86.48
Liechtenstein,2021-08-08,80,,91.11
Liechtenstein,2021-08-15,0,9,0.05
Liechtenstein,2021-08-15,10,19,21.64
Liechtenstein,2021-08-15,20,29,51.88
Liechtenstein,2021-08-15,30,39,49.08
Liechtenstein,2021-08-15,40,49,60.7
Liechtenstein,2021-08-15,50,59,66.21
Liechtenstein,2021-08-15,60,69,73.56
Liechtenstein,2021-08-15,70,79,86.68
Liechtenstein,2021-08-15,80,,91.36
Liechtenstein,2021-08-22,0,9,0.05
Liechtenstein,2021-08-22,10,19,27.37
Liechtenstein,2021-08-22,20,29,54.56
Liechtenstein,2021-08-22,30,39,52.08
Liechtenstein,2021-08-22,40,49,63.06
Liechtenstein,2021-08-22,50,59,68.01
Liechtenstein,2021-08-22,60,69,74.9
Liechtenstein,2021-08-22,70,79,87.14
Liechtenstein,2021-08-22,80,,91.73
Liechtenstein,2021-08-29,0,9,0.05
Liechtenstein,2021-08-29,10,19,32.22
Liechtenstein,2021-08-29,20,29,58.22
Liechtenstein,2021-08-29,30,39,55.09
Liechtenstein,2021-08-29,40,49,66.23
Liechtenstein,2021-08-29,50,59,70.1
Liechtenstein,2021-08-29,60,69,76.71
Liechtenstein,2021-08-29,70,79,87.84
Liechtenstein,2021-08-29,80,,92.11
Liechtenstein,2021-09-05,0,9,0.05
Liechtenstein,2021-09-05,10,19,32.27
Liechtenstein,2021-09-05,20,29,58.29
Liechtenstein,2021-09-05,30,39,55.11
Liechtenstein,2021-09-05,40,49,66.27
Liechtenstein,2021-09-05,50,59,70.1
Liechtenstein,2021-09-05,60,69,76.73
Liechtenstein,2021-09-05,70,79,87.87
Liechtenstein,2021-09-05,80,,92.11
Liechtenstein,2021-09-12,0,9,0.05
Liechtenstein,2021-09-12,10,19,32.45
Liechtenstein,2021-09-12,20,29,58.35
Liechtenstein,2021-09-12,30,39,55.25
Liechtenstein,2021-09-12,40,49,66.32
Liechtenstein,2021-09-12,50,59,70.22
Liechtenstein,2021-09-12,60,69,76.79
Liechtenstein,2021-09-12,70,79,87.9
Liechtenstein,2021-09-12,80,,92.17
Liechtenstein,2021-09-19,0,9,0.05
Liechtenstein,2021-09-19,10,19,37.92
Liechtenstein,2021-09-19,20,29,62.79
Liechtenstein,2021-09-19,30,39,58.6
Liechtenstein,2021-09-19,40,49,68.55
Liechtenstein,2021-09-19,50,59,72.27
Liechtenstein,2021-09-19,60,69,78.13
Liechtenstein,2021-09-19,70,79,88.48
Liechtenstein,2021-09-19,80,,92.79
Liechtenstein,2021-09-26,0,9,0.05
Liechtenstein,2021-09-26,10,19,40.13
Liechtenstein,2021-09-26,20,29,64.31
Liechtenstein,2021-09-26,30,39,60.3
Liechtenstein,2021-09-26,40,49,69.45
Liechtenstein,2021-09-26,50,59,73.0
Liechtenstein,2021-09-26,60,69,78.55
Liechtenstein,2021-09-26,70,79,88.97
Liechtenstein,2021-09-26,80,,93.04
Liechtenstein,2021-10-03,0,9,0.05
Liechtenstein,2021-10-03,10,19,41.01
Liechtenstein,2021-10-03,20,29,64.8
Liechtenstein,2021-10-03,30,39,60.9
Liechtenstein,2021-10-03,40,49,69.99
Liechtenstein,2021-10-03,50,59,73.5
Liechtenstein,2021-10-03,60,69,78.93
Liechtenstein,2021-10-03,70,79,89.23
Liechtenstein,2021-10-03,80,,93.41
Liechtenstein,2021-10-10,0,9,0.05
Liechtenstein,2021-10-10,10,19,41.84
Liechtenstein,2021-10-10,20,29,65.51
Liechtenstein,2021-10-10,30,39,61.78
Liechtenstein,2021-10-10,40,49,70.41
Liechtenstein,2021-10-10,50,59,74.01
Liechtenstein,2021-10-10,60,69,79.11
Liechtenstein,2021-10-10,70,79,89.29
Liechtenstein,2021-10-10,80,,93.47
Liechtenstein,2021-10-17,0,9,0.05
Liechtenstein,2021-10-17,10,19,42.02
Liechtenstein,2021-10-17,20,29,65.58
Liechtenstein,2021-10-17,30,39,62.0
Liechtenstein,2021-10-17,40,49,70.56
Liechtenstein,2021-10-17,50,59,74.06
Liechtenstein,2021-10-17,60,69,79.23
Liechtenstein,2021-10-17,70,79,89.41
Liechtenstein,2021-10-17,80,,93.47
Liechtenstein,2021-10-24,0,9,0.05
Liechtenstein,2021-10-24,10,19,42.43
Liechtenstein,2021-10-24,20,29,65.74
Liechtenstein,2021-10-24,30,39,62.24
Liechtenstein,2021-10-24,40,49,70.78
Liechtenstein,2021-10-24,50,59,74.11
Liechtenstein,2021-10-24,60,69,79.29
Liechtenstein,2021-10-24,70,79,89.44
Liechtenstein,2021-10-24,80,,93.54
Liechtenstein,2021-10-31,0,9,0.05
Liechtenstein,2021-10-31,10,19,43.31
Liechtenstein,2021-10-31,20,29,66.81
Liechtenstein,2021-10-31,30,39,63.23
Liechtenstein,2021-10-31,40,49,71.22
Liechtenstein,2021-10-31,50,59,74.63
Liechtenstein,2021-10-31,60,69,79.82
Liechtenstein,2021-10-31,70,79,89.73
Liechtenstein,2021-10-31,80,,93.54
Liechtenstein,2021-11-07,0,9,0.05
Liechtenstein,2021-11-07,10,19,44.34
Liechtenstein,2021-11-07,20,29,67.66
Liechtenstein,2021-11-07,30,39,63.95
Liechtenstein,2021-11-07,40,49,71.81
Liechtenstein,2021-11-07,50,59,75.13
Liechtenstein,2021-11-07,60,69,80.14
Liechtenstein,2021-11-07,70,79,89.79
Liechtenstein,2021-11-07,80,,93.66
Liechtenstein,2021-11-14,0,9,0.05
Liechtenstein,2021-11-14,10,19,45.96
Liechtenstein,2021-11-14,20,29,68.73
Liechtenstein,2021-11-14,30,39,64.83
Liechtenstein,2021-11-14,40,49,72.44
Liechtenstein,2021-11-14,50,59,75.61
Liechtenstein,2021-11-14,60,69,80.56
Liechtenstein,2021-11-14,70,79,89.9
Liechtenstein,2021-11-14,80,,93.85
Liechtenstein,2021-11-21,0,9,0.05
Liechtenstein,2021-11-21,10,19,46.35
Liechtenstein,2021-11-21,20,29,69.08
Liechtenstein,2021-11-21,30,39,65.15
Liechtenstein,2021-11-21,40,49,72.57
Liechtenstein,2021-11-21,50,59,75.69
Liechtenstein,2021-11-21,60,69,80.66
Liechtenstein,2021-11-21,70,79,90.05
Liechtenstein,2021-11-21,80,,93.97
Liechtenstein,2021-11-28,0,9,0.05
Liechtenstein,2021-11-28,10,19,46.87
Liechtenstein,2021-11-28,20,29,69.4
Liechtenstein,2021-11-28,30,39,65.65
Liechtenstein,2021-11-28,40,49,72.86
Liechtenstein,2021-11-28,50,59,75.82
Liechtenstein,2021-11-28,60,69,80.78
Liechtenstein,2021-11-28,70,79,90.25
Liechtenstein,2021-11-28,80,,94.03
Liechtenstein,2021-12-05,0,9,0.05
Liechtenstein,2021-12-05,10,19,47.3
Liechtenstein,2021-12-05,20,29,69.73
Liechtenstein,2021-12-05,30,39,65.99
Liechtenstein,2021-12-05,40,49,73.21
Liechtenstein,2021-12-05,50,59,75.91
Liechtenstein,2021-12-05,60,69,80.86
Liechtenstein,2021-12-05,70,79,90.34
Liechtenstein,2021-12-05,80,,94.1
Liechtenstein,2021-12-12,0,9,0.05
Liechtenstein,2021-12-12,10,19,48.08
Liechtenstein,2021-12-12,20,29,70.4
Liechtenstein,2021-12-12,30,39,66.45
Liechtenstein,2021-12-12,40,49,73.42
Liechtenstein,2021-12-12,50,59,76.22
Liechtenstein,2021-12-12,60,69,81.02
Liechtenstein,2021-12-12,70,79,90.45
Liechtenstein,2021-12-12,80,,94.28
Liechtenstein,2021-12-19,0,9,0.05
Liechtenstein,2021-12-19,10,19,48.67
Liechtenstein,2021-12-19,20,29,70.98
Liechtenstein,2021-12-19,30,39,67.01
