location,date,age_group_min,age_group_max,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,people_with_booster_per_hundred
Norway,2021-01-01,18,24,0.0,0.0,0.0
Norway,2021-01-01,25,49,0.0,0.0,0.0
Norway,2021-01-01,50,59,0.0,0.0,0.0
Norway,2021-01-01,60,69,0.0,0.0,0.0
Norway,2021-01-01,70,79,0.0,0.0,0.0
Norway,2021-01-01,80,,0.0,0.0,0.0
Norway,2021-01-08,0,17,0.0,0.0,0.0
Norway,2021-01-08,18,24,0.03,0.0,0.0
Norway,2021-01-08,25,49,0.06,0.0,0.0
Norway,2021-01-08,50,59,0.1,0.0,0.0
Norway,2021-01-08,60,69,0.26,0.0,0.0
Norway,2021-01-08,70,79,0.9,0.0,0.0
Norway,2021-01-08,80,,6.78,0.0,0.0
Norway,2021-01-15,0,17,0.0,0.0,0.0
Norway,2021-01-15,18,24,0.17,0.0,0.0
Norway,2021-01-15,25,49,0.53,0.0,0.0
Norway,2021-01-15,50,59,0.56,0.0,0.0
Norway,2021-01-15,60,69,0.63,0.0,0.0
Norway,2021-01-15,70,79,1.46,0.0,0.0
Norway,2021-01-15,80,,11.93,0.0,0.0
Norway,2021-01-22,0,17,0.0,0.0,0.0
Norway,2021-01-22,18,24,0.3,0.0,0.0
Norway,2021-01-22,25,49,1.0,0.01,0.0
Norway,2021-01-22,50,59,0.98,0.01,0.0
Norway,2021-01-22,60,69,0.96,0.03,0.0
Norway,2021-01-22,70,79,1.84,0.09,0.0
Norway,2021-01-22,80,,17.3,0.57,0.0
Norway,2021-01-29,0,17,0.0,0.0,0.0
Norway,2021-01-29,18,24,0.44,0.02,0.0
Norway,2021-01-29,25,49,1.29,0.06,0.0
Norway,2021-01-29,50,59,1.29,0.09,0.0
Norway,2021-01-29,60,69,1.22,0.24,0.0
Norway,2021-01-29,70,79,2.16,0.83,0.0
Norway,2021-01-29,80,,25.35,6.22,0.0
Norway,2021-02-05,0,17,0.01,0.0,0.0
Norway,2021-02-05,18,24,0.63,0.14,0.0
Norway,2021-02-05,25,49,1.73,0.49,0.0
Norway,2021-02-05,50,59,1.83,0.52,0.0
Norway,2021-02-05,60,69,1.65,0.59,0.0
Norway,2021-02-05,70,79,3.64,1.36,0.0
Norway,2021-02-05,80,,45.8,11.14,0.0
Norway,2021-02-12,0,17,0.01,0.0,0.0
Norway,2021-02-12,18,24,0.79,0.26,0.0
Norway,2021-02-12,25,49,2.07,0.96,0.0
Norway,2021-02-12,50,59,2.22,0.94,0.0
Norway,2021-02-12,60,69,1.98,0.92,0.0
Norway,2021-02-12,70,79,6.34,1.7,0.0
Norway,2021-02-12,80,,60.97,15.86,0.0
Norway,2021-02-19,0,17,0.01,0.0,0.0
Norway,2021-02-19,18,24,1.14,0.39,0.0
Norway,2021-02-19,25,49,2.89,1.24,0.0
Norway,2021-02-19,50,59,3.13,1.24,0.0
Norway,2021-02-19,60,69,2.56,1.17,0.0
Norway,2021-02-19,70,79,8.62,2.02,0.0
Norway,2021-02-19,80,,70.66,24.11,0.0
Norway,2021-02-26,0,17,0.01,0.0,0.0
Norway,2021-02-26,18,24,1.93,0.56,0.0
Norway,2021-02-26,25,49,3.98,1.63,0.0
Norway,2021-02-26,50,59,4.48,1.72,0.0
Norway,2021-02-26,60,69,3.27,1.55,0.0
Norway,2021-02-26,70,79,8.91,3.42,0.0
Norway,2021-02-26,80,,71.46,43.93,0.0
Norway,2021-03-05,0,17,0.01,0.0,0.0
Norway,2021-03-05,18,24,3.12,0.68,0.0
Norway,2021-03-05,25,49,5.46,1.91,0.0
Norway,2021-03-05,50,59,6.24,2.09,0.0
Norway,2021-03-05,60,69,4.43,1.84,0.0
Norway,2021-03-05,70,79,10.12,5.19,0.0
Norway,2021-03-05,80,,74.4,57.24,0.0
Norway,2021-03-12,0,17,0.02,0.0,0.0
Norway,2021-03-12,18,24,3.92,0.81,0.0
Norway,2021-03-12,25,49,6.29,2.15,0.0
Norway,2021-03-12,50,59,7.56,2.37,0.0
Norway,2021-03-12,60,69,5.84,2.1,0.0
Norway,2021-03-12,70,79,11.73,8.17,0.0
Norway,2021-03-12,80,,78.82,68.72,0.0
Norway,2021-03-19,0,17,0.02,0.0,0.0
Norway,2021-03-19,18,24,4.02,0.85,0.0
Norway,2021-03-19,25,49,6.42,2.22,0.0
Norway,2021-03-19,50,59,7.75,2.45,0.0
Norway,2021-03-19,60,69,6.25,2.2,0.0
Norway,2021-03-19,70,79,19.32,8.46,0.0
Norway,2021-03-19,80,,86.63,69.7,0.0
Norway,2021-03-26,0,17,0.02,0.0,0.0
Norway,2021-03-26,18,24,4.42,0.87,0.0
Norway,2021-03-26,25,49,7.24,2.26,0.0
Norway,2021-03-26,50,59,8.73,2.52,0.0
Norway,2021-03-26,60,69,7.64,2.37,0.0
Norway,2021-03-26,70,79,35.6,9.08,0.0
Norway,2021-03-26,80,,89.99,71.4,0.0
Norway,2021-04-02,0,17,0.03,0.0,0.0
Norway,2021-04-02,18,24,4.75,0.9,0.0
Norway,2021-04-02,25,49,7.81,2.3,0.0
Norway,2021-04-02,50,59,9.73,2.58,0.0
Norway,2021-04-02,60,69,9.68,2.52,0.0
Norway,2021-04-02,70,79,48.22,10.21,0.0
Norway,2021-04-02,80,,90.95,74.9,0.0
Norway,2021-04-09,0,17,0.04,0.0,0.0
Norway,2021-04-09,18,24,5.35,0.95,0.0
Norway,2021-04-09,25,49,8.8,2.36,0.0
Norway,2021-04-09,50,59,12.09,2.66,0.0
Norway,2021-04-09,60,69,15.25,2.66,0.0
Norway,2021-04-09,70,79,69.48,11.29,0.0
Norway,2021-04-09,80,,91.74,76.94,0.0
Norway,2021-04-16,0,17,0.05,0.01,0.0
Norway,2021-04-16,18,24,5.98,0.99,0.0
Norway,2021-04-16,25,49,9.7,2.41,0.0
Norway,2021-04-16,50,59,14.79,2.75,0.0
Norway,2021-04-16,60,69,29.0,2.77,0.0
Norway,2021-04-16,70,79,86.33,11.65,0.0
Norway,2021-04-16,80,,92.38,77.29,0.0
Norway,2021-04-23,0,17,0.07,0.01,0.0
Norway,2021-04-23,18,24,6.54,1.07,0.0
Norway,2021-04-23,25,49,10.6,2.55,0.0
Norway,2021-04-23,50,59,17.54,3.02,0.0
Norway,2021-04-23,60,69,44.69,3.07,0.0
Norway,2021-04-23,70,79,92.04,11.94,0.0
Norway,2021-04-23,80,,92.74,77.72,0.0
Norway,2021-04-30,0,17,0.08,0.02,0.0
Norway,2021-04-30,18,24,7.29,1.22,0.0
Norway,2021-04-30,25,49,12.16,2.82,0.0
Norway,2021-04-30,50,59,23.51,3.47,0.0
Norway,2021-04-30,60,69,58.18,3.71,0.0
Norway,2021-04-30,70,79,94.14,19.14,0.0
Norway,2021-04-30,80,,93.07,85.15,0.01
Norway,2021-05-07,0,17,0.09,0.02,0.0
Norway,2021-05-07,18,24,8.1,1.59,0.0
Norway,2021-05-07,25,49,13.93,3.5,0.0
Norway,2021-05-07,50,59,27.51,4.38,0.0
