entity,indicator,date,value
Latvia,Daily ICU occupancy,2023-01-01,9.0
Latvia,Daily ICU occupancy,2023-01-08,6.0
Latvia,Daily ICU occupancy,2023-01-15,7.0
Latvia,Daily ICU occupancy,2023-01-22,4.0
Latvia,Daily ICU occupancy,2023-01-29,7.0
Latvia,Daily ICU occupancy,2023-02-05,4.0
Latvia,Daily ICU occupancy,2023-02-12,3.0
Latvia,Daily ICU occupancy,2023-02-19,2.0
Latvia,Daily ICU occupancy,2023-02-26,5.0
Latvia,Daily ICU occupancy,2023-03-05,3.0
Latvia,Daily ICU occupancy,2023-03-12,4.0
Latvia,Daily ICU occupancy,2023-03-19,5.0
Latvia,Daily ICU occupancy,2023-03-26,4.0
Latvia,Daily ICU occupancy,2023-04-02,4.0
Latvia,Daily ICU occupancy,2023-04-09,2.0
Latvia,Daily ICU occupancy,2023-04-16,2.0
Latvia,Daily ICU occupancy,2023-04-23,2.0
Latvia,Daily ICU occupancy,2023-04-30,3.0
Latvia,Daily ICU occupancy,2023-05-07,4.0
Latvia,Daily ICU occupancy,2023-05-14,2.0
Latvia,Daily ICU occupancy,2023-05-21,3.0
Latvia,Daily ICU occupancy,2023-05-28,2.0
Latvia,Daily ICU occupancy,2023-06-04,3.0
Latvia,Daily ICU occupancy,2023-06-11,3.0
Latvia,Daily ICU occupancy,2023-06-18,3.0
Latvia,Daily ICU occupancy,2023-06-25,2.0
Latvia,Daily ICU occupancy,2023-07-02,2.0
Latvia,Daily ICU occupancy,2023-07-09,2.0
Latvia,Daily ICU occupancy,2023-07-16,0.0
Latvia,Daily ICU occupancy,2023-07-23,0.0
Latvia,Daily ICU occupancy,2023-07-30,1.0
Latvia,Daily ICU occupancy,2023-08-06,0.0
Latvia,Daily ICU occupancy,2023-08-13,0.0
Latvia,Daily ICU occupancy,2023-08-20,0.0
Latvia,Daily ICU occupancy,2023-08-27,0.0
Latvia,Daily ICU occupancy,2023-09-03,0.0
Latvia,Weekly new hospital admissions,2020-03-15,5.919702818648684
Latvia,Weekly new ICU admissions,2020-03-15,0.0
Latvia,Weekly new hospital admissions,2020-03-22,15.785874183063157
Latvia,Weekly new ICU admissions,2020-03-22,0.0
Latvia,Weekly new hospital admissions,2020-03-29,28.61189695680197
Latvia,Weekly new ICU admissions,2020-03-29,2.959851409324342
Latvia,Weekly new hospital admissions,2020-04-05,27.625279820360525
Latvia,Weekly new ICU admissions,2020-04-05,3.9464685457657893
Latvia,Weekly new hospital admissions,2020-04-12,24.665428411036178
Latvia,Weekly new ICU admissions,2020-04-12,0.0
Latvia,Weekly new hospital admissions,2020-04-19,17.759108455946055
Latvia,Weekly new ICU admissions,2020-04-19,2.959851409324342
Latvia,Weekly new hospital admissions,2020-04-26,13.812639910180263
Latvia,Weekly new ICU admissions,2020-04-26,3.9464685457657893
Latvia,Weekly new hospital admissions,2020-05-03,8.879554227973028
Latvia,Weekly new ICU admissions,2020-05-03,1.9732342728828938
Latvia,Weekly new hospital admissions,2020-05-10,9.866171364414473
Latvia,Weekly new ICU admissions,2020-05-10,0.0
Latvia,Weekly new hospital admissions,2020-05-24,7.892937091531579
Latvia,Weekly new ICU admissions,2020-05-24,0.0
Latvia,Weekly new hospital admissions,2020-05-31,3.9464685457657893
Latvia,Weekly new ICU admissions,2020-05-31,0.986617136441446
Latvia,Weekly new hospital admissions,2020-06-07,2.959851409324342
Latvia,Weekly new ICU admissions,2020-06-07,1.9732342728828938
Latvia,Weekly new hospital admissions,2020-06-14,2.959851409324342
Latvia,Weekly new ICU admissions,2020-06-14,0.0
Latvia,Weekly new hospital admissions,2020-06-21,3.9464685457657893
Latvia,Weekly new ICU admissions,2020-06-21,0.0
Latvia,Weekly new hospital admissions,2020-06-28,1.9732342728828938
Latvia,Weekly new ICU admissions,2020-06-28,0.0
Latvia,Weekly new hospital admissions,2020-07-26,0.986617136441446
Latvia,Weekly new ICU admissions,2020-07-26,0.0
Latvia,Weekly new hospital admissions,2020-08-02,1.9732342728828938
Latvia,Weekly new ICU admissions,2020-08-02,0.0
Latvia,Weekly new hospital admissions,2020-08-09,4.933085682207235
