iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
CYM,North America,Cayman Islands,2023-08-23,31472.0,0.0,0.0,37.0,0.0,0.0,457961.061,0.0,0.0,538.401,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.496,,,,49903.029,,,13.22,,,,,83.92,,68722.0,,,,
CAF,Africa,Central African Republic,2023-08-23,15367.0,0.0,0.0,113.0,0.0,0.0,2754.363,0.0,0.0,20.254,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,5579148.0,,,,
TCD,Africa,Chad,2023-08-23,7698.0,0.0,0.0,194.0,0.0,0.0,434.343,0.0,0.0,10.946,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,17723312.0,,,,
CHL,South America,Chile,2023-08-25,5289055.0,0.0,0.0,61614.0,0.0,0.0,269798.318,0.0,0.0,3142.972,0.0,0.0,,11.0,0.561,,,3.0,0.153,,,,,,,,,,,,,,,,,,,,,,,,,,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,19603736.0,,,,
CHN,Asia,China,2023-08-23,99302177.0,0.0,0.0,121628.0,0.0,0.0,69642.371,0.0,0.0,85.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,1425887360.0,,,,
COL,South America,Colombia,2023-08-23,6378000.0,0.0,0.0,142961.0,0.0,0.0,122951.701,0.0,0.0,2755.926,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,51874028.0,,,,
COM,Africa,Comoros,2023-08-23,9109.0,0.0,0.0,160.0,0.0,0.0,10885.737,0.0,0.0,191.208,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,836783.0,,,,
COG,Africa,Congo,2023-08-23,25196.0,0.0,0.0,389.0,0.0,0.0,4220.132,0.0,0.0,65.154,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,5970430.0,,,,
COK,Oceania,Cook Islands,2023-08-23,7152.0,0.0,0.0,2.0,0.0,0.0,419915.453,0.0,0.0,117.426,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.25,,17032.0,,,,
CRI,North America,Costa Rica,2023-08-23,1238883.0,0.0,0.0,9428.0,0.0,0.0,239128.009,0.0,0.0,1819.784,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,5180836.0,,,,
CIV,Africa,Cote d'Ivoire,2023-08-23,88338.0,0.0,0.0,835.0,0.0,0.0,3136.942,0.0,0.0,29.651,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,28160548.0,,,,
HRV,Europe,Croatia,2023-08-23,1274198.0,0.0,0.0,18290.0,0.0,0.0,316149.844,0.0,0.0,4538.055,0.0,0.0,,,,,,,,,,,,,,,,,,,5362227.0,2321700.0,2251699.0,,,4.0,133.05,57.61,55.87,,1.0,1.0,0.0,,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,4030361.0,,,,
CUB,North America,Cuba,2023-08-23,1115064.0,0.0,0.0,8530.0,0.0,0.0,99450.973,0.0,0.0,760.779,0.0,0.0,,,,,,,,,,,,,,,,,,,45596881.0,10767761.0,10031007.0,8770935.0,4492.0,2469.0,406.67,96.04,89.47,78.23,220.0,60.0,0.001,,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,11212198.0,,,,
CUW,North America,Curacao,2023-08-23,45883.0,0.0,0.0,305.0,0.0,0.0,240007.742,0.0,0.0,1595.414,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,191173.0,,,,
CYP,Europe,Cyprus,2023-08-23,660854.0,0.0,0.0,1364.0,0.0,0.0,737554.506,0.0,0.0,1522.31,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,896007.0,,,,
CZE,Europe,Czechia,2023-08-25,4643607.0,0.0,22.571,42815.0,0.0,0.286,442501.565,0.0,2.151,4079.954,0.0,0.027,,1.0,0.095,29.0,2.763,1.0,0.095,19.0,1.811,,,,,,,,,,18626170.0,6976673.0,6893388.0,5167459.0,14.0,14.0,177.49,66.48,65.69,49.24,1.0,1.0,0.0,,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,10493990.0,,,,
COD,Africa,Democratic Republic of Congo,2023-08-23,97697.0,0.0,0.0,1468.0,0.0,0.0,986.737,0.0,0.0,14.827,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,99010216.0,,,,
DNK,Europe,Denmark,2023-08-23,3415091.0,0.0,0.0,8780.0,0.0,0.0,580574.742,0.0,0.0,1492.624,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,5882259.0,,,,
DJI,Africa,Djibouti,2023-08-23,15690.0,0.0,0.0,189.0,0.0,0.0,13998.292,0.0,0.0,168.622,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,1120851.0,,,,
DMA,North America,Dominica,2023-08-23,15760.0,0.0,0.0,74.0,0.0,0.0,216608.483,0.0,0.0,1017.07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,72758.0,,,,
DOM,North America,Dominican Republic,2023-08-23,667048.0,0.0,0.0,4384.0,0.0,0.0,59404.99,0.0,0.0,390.424,0.0,0.0,,,,,,,,,,,,,,,,,,,16372473.0,7348978.0,6111111.0,2565421.0,,917.0,145.81,65.45,54.42,22.85,82.0,354.0,0.003,,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,11228821.0,,,,
ECU,South America,Ecuador,2023-08-23,1069114.0,0.0,0.0,36042.0,0.0,0.0,59391.916,0.0,0.0,2002.222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,18001002.0,,,,
EGY,Africa,Egypt,2023-08-23,516023.0,0.0,0.0,24830.0,0.0,0.0,4649.271,0.0,0.0,223.714,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,110990096.0,,,,
SLV,North America,El Salvador,2023-08-23,201785.0,0.0,0.0,4230.0,0.0,0.0,31845.405,0.0,0.0,667.572,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,6336393.0,,,,
OWID_ENG,Europe,England,2023-08-18,,,,,,,,,,,,,,,,2499.0,44.191,,,2241.0,39.629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56550000.0,,,,
GNQ,Africa,Equatorial Guinea,2023-08-23,17130.0,0.0,0.0,183.0,0.0,0.0,10227.379,0.0,0.0,109.259,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,1674916.0,,,,
ERI,Africa,Eritrea,2023-08-23,10189.0,0.0,0.0,103.0,0.0,0.0,2765.713,0.0,0.0,27.958,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,3684041.0,,,,
EST,Europe,Estonia,2023-08-23,601773.0,0.0,0.0,2901.0,0.0,0.0,453803.889,0.0,0.0,2187.677,0.0,0.0,,0.0,0.0,,,0.0,0.0,6.0,4.505,,,,,,,,,,2112768.0,869394.0,861745.0,601405.0,10.0,8.0,159.33,65.56,64.99,45.35,6.0,0.0,0.0,,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,1326064.0,,,,
SWZ,Africa,Eswatini,2023-08-23,74882.0,0.0,0.0,1427.0,0.0,0.0,62314.426,0.0,0.0,1187.504,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,1201680.0,,,,
ETH,Africa,Ethiopia,2023-08-23,500991.0,0.0,0.0,7574.0,0.0,0.0,4060.555,0.0,0.0,61.388,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,123379928.0,,,,
OWID_EUR,,Europe,2023-08-25,249109080.0,0.0,255.857,2075405.0,0.0,3.714,334460.889,0.0,0.344,2786.497,0.0,0.005,,,,,,,,,,,,,,,,,,,1388810987.0,522815663.0,493100208.0,359171969.0,669.0,678.0,186.47,70.19,66.21,48.22,1.0,12.0,0.0,,,,,,,,,,,,,,,,744807803.0,,,,
OWID_EUN,,European Union,2023-08-25,183755598.0,0.0,159.714,1243032.0,0.0,3.714,408212.612,0.0,0.355,2761.393,0.0,0.008,,,,,,,,,,,,,,,,,,,945856744.0,337973494.0,327965507.0,279490292.0,669.0,678.0,210.12,75.08,72.86,62.09,2.0,12.0,0.0,,,,,,,,,,,,,,,,450146793.0,,,,
FRO,Europe,Faeroe Islands,2023-08-23,34658.0,0.0,0.0,28.0,0.0,0.0,652484.139,0.0,0.0,527.138,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.308,,,,,,,,,,,,80.67,,53117.0,,,,
FLK,South America,Falkland Islands,2023-08-23,1923.0,0.0,0.0,,0.0,0.0,505919.495,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.44,,3801.0,,,,
FJI,Oceania,Fiji,2023-08-23,69047.0,0.0,0.0,885.0,0.0,0.0,74262.532,0.0,0.0,951.849,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,929769.0,,,,
FIN,Europe,Finland,2023-08-23,1483278.0,0.0,0.0,10138.0,0.0,0.0,267703.711,0.0,0.0,1829.718,0.0,0.0,,,,,,,,,,,,,,,,,,,13215666.0,4524249.0,4347808.0,4343609.0,,5.0,238.52,81.65,78.47,78.39,1.0,0.0,0.0,,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,5540745.0,,,,
FRA,Europe,France,2023-08-23,38997490.0,0.0,0.0,167985.0,0.0,0.0,603427.621,0.0,0.0,2599.316,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,67813000.0,,,,
GUF,South America,French Guiana,2023-08-23,98041.0,0.0,0.0,413.0,0.0,0.0,321901.841,0.0,0.0,1356.019,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.3,,2.897,,,,,,,,,79.95,,304568.0,,,,
PYF,Oceania,French Polynesia,2023-08-23,78621.0,0.0,0.0,649.0,0.0,0.0,256686.43,0.0,0.0,2118.893,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,306292.0,,,,
GAB,Africa,Gabon,2023-08-23,48992.0,0.0,0.0,307.0,0.0,0.0,20507.351,0.0,0.0,128.506,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,2388997.0,,,,
GMB,Africa,Gambia,2023-08-23,12626.0,0.0,0.0,372.0,0.0,0.0,4665.936,0.0,0.0,137.473,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,2705995.0,,,,
GEO,Asia,Georgia,2023-08-23,1850905.0,0.0,0.0,17122.0,0.0,0.0,494314.821,0.0,0.0,4572.714,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,3744385.0,,,,
DEU,Europe,Germany,2023-08-23,38437756.0,0.0,0.0,174979.0,0.0,0.0,461051.095,0.0,0.0,2098.829,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,83369840.0,,,,
GHA,Africa,Ghana,2023-08-23,171653.0,0.0,0.0,1462.0,0.0,0.0,5127.664,0.0,0.0,43.673,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,33475870.0,,,,
GIB,Europe,Gibraltar,2023-08-23,20550.0,0.0,0.0,113.0,0.0,0.0,628882.7,0.0,0.0,3458.09,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3457.1,,,,,,,,,,,,79.93,,32677.0,,,,
GRC,Europe,Greece,2023-08-24,5352647.0,0.0,0.0,37311.0,0.0,0.0,515422.381,0.0,0.0,3592.788,0.0,0.0,,,,,,3.0,0.287,559.0,53.825,,,,,,,,,,22126937.0,7935995.0,7646347.0,7123671.0,25.0,25.0,213.07,76.42,73.63,68.6,2.0,4.0,0.0,,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,10384972.0,,,,
GRL,North America,Greenland,2023-08-23,11971.0,0.0,0.0,21.0,0.0,0.0,211898.609,0.0,0.0,371.721,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137,,,,,,199.941,2.16,,,,,71.7,,56494.0,,,,
GRD,North America,Grenada,2023-08-23,19693.0,0.0,0.0,238.0,0.0,0.0,156967.615,0.0,0.0,1897.034,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,125459.0,,,,
GLP,North America,Guadeloupe,2023-08-23,203235.0,0.0,0.0,1021.0,0.0,0.0,513528.333,0.0,0.0,2579.833,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4,,,,,,,,,,,82.14,,395762.0,,,,
GUM,Oceania,Guam,2023-08-23,51845.0,0.0,0.0,416.0,0.0,0.0,301805.184,0.0,0.0,2421.66,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.128,31.4,9.551,5.493,,,310.496,21.52,,,,,80.07,,171783.0,,,,
GTM,North America,Guatemala,2023-08-23,1271061.0,0.0,0.0,20235.0,0.0,0.0,71232.186,0.0,0.0,1134.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,17843914.0,,,,
GGY,Europe,Guernsey,2023-08-23,35326.0,0.0,0.0,67.0,0.0,0.0,557817.114,0.0,0.0,1057.967,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63329.0,,,,
GIN,Africa,Guinea,2023-08-23,38563.0,0.0,0.0,468.0,0.0,0.0,2782.454,0.0,0.0,33.768,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,13859349.0,,,,
GNB,Africa,Guinea-Bissau,2023-08-23,9614.0,0.0,0.0,177.0,0.0,0.0,4565.963,0.0,0.0,84.062,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,2105580.0,,,,
GUY,South America,Guyana,2023-08-23,73385.0,0.0,0.0,1299.0,0.0,0.0,90741.375,0.0,0.0,1606.228,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,808727.0,,,,
HTI,North America,Haiti,2023-08-23,34301.0,0.0,0.0,860.0,0.0,0.0,2960.811,0.0,0.0,74.234,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,11585003.0,,,,
OWID_HIC,,High income,2023-08-25,424572328.0,0.0,309.286,2899122.0,0.0,3.714,339518.09,0.0,0.247,2318.343,0.0,0.003,,,,,,,,,,,,,,,,,,,2819882714.0,998616941.0,929146145.0,830264813.0,1754.0,1758.0,225.5,79.86,74.3,66.39,1.0,88.0,0.0,,,,,,,,,,,,,,,,1250514600.0,,,,
HND,North America,Honduras,2023-08-23,474566.0,0.0,0.0,11127.0,0.0,0.0,45487.631,0.0,0.0,1066.534,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,10432858.0,,,,
HKG,Asia,Hong Kong,2023-08-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20843641.0,6917237.0,6801221.0,7125183.0,221.0,318.0,278.33,92.37,90.82,95.14,42.0,9.0,0.0,,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,7488863.0,,,,
HUN,Europe,Hungary,2023-08-23,2203356.0,0.0,0.0,48801.0,0.0,0.0,221058.372,0.0,0.0,4896.108,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,9967304.0,,,,
ISL,Europe,Iceland,2023-08-23,208845.0,0.0,0.0,186.0,0.0,0.0,560051.81,0.0,0.0,498.789,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,372903.0,,,,
IND,Asia,India,2023-08-25,44996599.0,0.0,29.429,531925.0,0.0,0.429,31750.954,0.0,0.021,375.342,0.0,0.0,,,,,,,,,,,,,,,,,,,2206738985.0,1027416486.0,951984141.0,227338358.0,1880.0,973.0,155.71,72.5,67.17,16.04,1.0,98.0,0.0,,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,1417173120.0,,,,
IDN,Asia,Indonesia,2023-08-23,6813095.0,0.0,0.0,161916.0,0.0,0.0,24729.807,0.0,0.0,587.714,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,275501344.0,,,,
IRN,Asia,Iran,2023-08-23,7613468.0,0.0,32.857,146321.0,0.0,0.429,85978.76,0.0,0.371,1652.4,0.0,0.005,,,,,,,,,,,,,,,,,,,155445801.0,65194977.0,58582625.0,28576234.0,,506.0,175.54,73.62,66.16,32.27,6.0,85.0,0.0,,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,88550568.0,,,,
IRQ,Asia,Iraq,2023-08-23,2465545.0,0.0,0.0,25375.0,0.0,0.0,55410.332,0.0,0.0,570.274,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,44496124.0,,,,
IRL,Europe,Ireland,2023-08-23,1716606.0,305.0,142.571,9148.0,19.0,2.714,341741.806,60.719,28.383,1821.183,3.783,0.54,,8.0,1.593,408.0,81.225,7.0,1.383,318.0,63.241,,,,,,,,,,,,,,,,,,,,,,,,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,5023108.0,,,,
IMN,Europe,Isle of Man,2023-08-23,38008.0,0.0,0.0,116.0,0.0,0.0,449617.905,0.0,0.0,1372.229,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.872,,,,,,,,,,,,81.4,,84534.0,,,,
ISR,Asia,Israel,2023-08-23,4833089.0,0.0,48.0,12625.0,0.0,0.0,511492.116,0.0,5.08,1336.12,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,9449000.0,,,,
ITA,Europe,Italy,2023-08-24,25929238.0,388.0,841.286,191167.0,0.0,0.714,439199.666,6.572,14.25,3238.062,0.0,0.012,,44.0,0.745,1316.0,22.291,44.0,0.745,,,,,,,,,,,,144593165.0,50921145.0,47956292.0,47750227.0,23.0,21.0,244.92,86.25,81.23,80.88,0.0,2.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
JAM,North America,Jamaica,2023-08-23,155860.0,0.0,0.0,3596.0,0.0,0.0,55125.201,0.0,0.0,1271.848,0.0,0.0,,,,,,,,,,,,,,,,,,,1527729.0,859331.0,759769.0,,,16.0,54.03,30.39,26.87,,6.0,11.0,0.0,,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,2827382.0,,,,
JPN,Asia,Japan,2023-08-23,33803572.0,0.0,0.0,74694.0,0.0,0.0,272715.688,0.0,0.0,602.606,0.0,0.0,,430.0,3.469,24405.0,196.891,,,,,,,,,,,,,,,,,,,,,,,,,,,,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,123951696.0,,,,
JEY,Europe,Jersey,2023-08-23,66391.0,0.0,0.0,161.0,0.0,0.0,599218.383,0.0,0.0,1453.121,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110796.0,,,,
JOR,Asia,Jordan,2023-08-23,1746997.0,0.0,0.0,14122.0,0.0,0.0,154794.998,0.0,0.0,1251.299,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,11285875.0,,,,
KAZ,Asia,Kazakhstan,2023-08-23,1502857.0,0.0,0.0,19072.0,0.0,0.0,77474.851,0.0,0.0,983.194,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,19397998.0,,,,
KEN,Africa,Kenya,2023-08-23,343955.0,0.0,0.0,5689.0,0.0,0.0,6366.297,0.0,0.0,105.298,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,54027484.0,,,,
KIR,Oceania,Kiribati,2023-08-23,5085.0,0.0,0.0,24.0,0.0,0.0,38746.695,0.0,0.0,182.875,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,131237.0,,,,
OWID_KOS,Europe,Kosovo,2023-08-23,273923.0,0.0,0.0,3209.0,0.0,0.0,153706.691,0.0,0.0,1800.669,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.155,,,,9795.834,0.6,,,,,,,,,1782115.0,,,,
KWT,Asia,Kuwait,2023-08-23,666081.0,0.0,5.429,2570.0,0.0,0.0,156031.574,0.0,1.272,602.031,0.0,0.0,,,,,,,,,,,,,,,,,,,8260904.0,3457352.0,3346028.0,1457524.0,,8.0,193.51,80.99,78.38,34.14,2.0,5.0,0.0,,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,4268886.0,,,,
KGZ,Asia,Kyrgyzstan,2023-08-25,87925.0,0.0,0.0,1024.0,0.0,0.0,13260.447,0.0,0.0,154.435,0.0,0.0,,,,,,,,,,,,,,,,,,,3635269.0,1726106.0,1403299.0,,2265.0,1740.0,54.83,26.03,21.16,,262.0,651.0,0.01,,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,6630621.0,,,,
