module,execution_time (sec),success,timestamp,error,error_short
cowidev.vax.batch.hong_kong,6.14,False,2023-09-23T07:01:58,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/hong_kong.py"", line 294, in main
    HongKong().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/hong_kong.py"", line 278, in export
    df = df_base.pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/generic.py"", line 5430, in pipe
    return com.pipe(self, func, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/common.py"", line 471, in pipe
    return func(obj, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/hong_kong.py"", line 134, in pipeline
    .pipe(self.make_monotonic)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/generic.py"", line 5430, in pipe
    return com.pipe(self, func, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/core/common.py"", line 471, in pipe
    return func(obj, *args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/utils/base.py"", line 120, in make_monotonic
    return mkm(
  File ""/home/owid/covid-19-data/scripts/src/cowidev/utils/utils.py"", line 23, in make_monotonic
    return make_monotonic_new(df, column_date, column_metrics, max_removed_rows)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/utils/utils.py"", line 96, in make_monotonic_new
    raise Exception(
Exception: 1 chunks of lengths 764 would be NaNed for metric total_vaccinations. That is more than maximum allowed (10) by make_monotonic() - check the data. Check dates ['2023-08-31']. Location(s) affected: {'Hong Kong'}
",1 chunks of lengths 764 would be NaNed for metric total_vaccinations. That is more than maximum allowed (10) by make_monotonic() - check the data. Check dates ['2023-08-31']. Location(s) affected: {'Hong Kong'}
cowidev.vax.batch.indonesia,,,2023-09-23T07:00:06,,
cowidev.vax.batch.ireland,5.33,True,2023-09-23T07:00:11,,
cowidev.vax.batch.israel,0.11,False,2023-09-23T07:01:58,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/israel.py"", line 189, in main
    Israel().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/israel.py"", line 175, in export
    df = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/israel.py"", line 21, in read
    data = request_json(self.source_url, verify=False)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/utils/web/scraping.py"", line 107, in request_json
    return json.loads(text)
  File ""/usr/lib/python3.10/json/__init__.py"", line 346, in loads
    return _default_decoder.decode(s)
  File ""/usr/lib/python3.10/json/decoder.py"", line 337, in decode
    obj, end = self.raw_decode(s, idx=_w(s, 0).end())
  File ""/usr/lib/python3.10/json/decoder.py"", line 355, in raw_decode
    raise JSONDecodeError(""Expecting value"", s, err.value) from None
json.decoder.JSONDecodeError: Expecting value: line 3 column 2 (char 3)
",Expecting value: line 3 column 2 (char 3)
cowidev.vax.batch.italy,7.61,True,2023-09-23T07:00:13,,
cowidev.vax.batch.japan,,,2023-09-23T07:00:06,,
cowidev.vax.batch.jersey,5.71,True,2023-09-23T07:00:12,,
cowidev.vax.batch.latvia,83.39,True,2023-09-23T07:01:29,,
cowidev.vax.batch.lithuania,4.67,True,2023-09-23T07:00:11,,
cowidev.vax.batch.luxembourg,3.59,True,2023-09-23T07:00:09,,
cowidev.vax.batch.malaysia,0.88,True,2023-09-23T07:00:07,,
cowidev.vax.batch.malta,1.11,True,2023-09-23T07:00:07,,
cowidev.vax.batch.netherlands,,,2023-09-23T07:00:06,,
cowidev.vax.batch.new_zealand,2.52,False,2023-09-23T07:02:01,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/new_zealand.py"", line 119, in main
    NewZealand().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/new_zealand.py"", line 114, in export
    df = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/batch/new_zealand.py"", line 43, in read
    df = read_xlsx_from_url(link, sheet_name=""Date"")
  File ""/home/owid/covid-19-data/scripts/src/cowidev/utils/web/download.py"", line 47, in read_xlsx_from_url
    df = pd.read_excel(tmp.name, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/util/_decorators.py"", line 311, in wrapper
    return func(*args, **kwargs)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/io/excel/_base.py"", line 364, in read_excel
    io = ExcelFile(io, storage_options=storage_options, engine=engine)
  File ""/home/owid/covid-19-data/scripts/venv/lib/python3.10/site-packages/pandas/io/excel/_base.py"", line 1195, in __init__
    raise ValueError(
ValueError: Excel file format cannot be determined, you must specify an engine manually.
","Excel file format cannot be determined, you must specify an engine manually."
cowidev.vax.batch.norway,0.45,True,2023-09-23T07:00:06,,
cowidev.vax.batch.peru,4.99,True,2023-09-23T07:00:11,,
cowidev.vax.batch.portugal,,,2023-09-23T07:00:06,,
cowidev.vax.batch.romania,32.78,True,2023-09-23T07:00:39,,
cowidev.vax.batch.saudi_arabia,7.99,True,2023-09-23T07:00:14,,
cowidev.vax.batch.singapore,5.62,True,2023-09-23T07:00:11,,
cowidev.vax.batch.slovakia,35.64,True,2023-09-23T07:00:41,,
cowidev.vax.batch.slovenia,2.97,True,2023-09-23T07:00:09,,
cowidev.vax.batch.south_korea,,,2023-09-23T07:00:06,,
cowidev.vax.batch.spc,23.55,True,2023-09-23T07:00:29,,
cowidev.vax.batch.sweden,15.2,True,2023-09-23T07:00:21,,
cowidev.vax.batch.switzerland,36.69,True,2023-09-23T07:00:43,,
cowidev.vax.batch.trinidad_and_tobago,4.68,True,2023-09-23T07:00:11,,
cowidev.vax.batch.ukraine,,,2023-09-23T07:00:06,,
cowidev.vax.batch.united_kingdom,12.59,True,2023-09-23T07:00:19,,
cowidev.vax.batch.united_states,21.24,True,2023-09-23T07:00:28,,
cowidev.vax.batch.uruguay,4.46,True,2023-09-23T07:00:11,,
cowidev.vax.batch.zimbabwe,3.12,True,2023-09-23T07:00:10,,
cowidev.vax.incremental.africacdc,,,2023-09-23T07:00:07,,
cowidev.vax.incremental.antigua_barbuda,,,2023-09-23T07:00:07,,
cowidev.vax.incremental.aruba,3.1,True,2023-09-23T07:00:10,,
cowidev.vax.incremental.austria,,,2023-09-23T07:00:09,,
cowidev.vax.incremental.azerbaijan,,,2023-09-23T07:00:09,,
cowidev.vax.incremental.bahrain,,,2023-09-23T07:00:09,,
cowidev.vax.incremental.bangladesh,80.16,True,2023-09-23T07:01:29,,
cowidev.vax.incremental.barbados,,,2023-09-23T07:00:09,,
cowidev.vax.incremental.brazil,1.38,True,2023-09-23T07:00:11,,
cowidev.vax.incremental.bulgaria,4.81,True,2023-09-23T07:00:15,,
cowidev.vax.incremental.china,14.12,True,2023-09-23T07:00:24,,
cowidev.vax.incremental.costa_rica,,,2023-09-23T07:00:10,,
cowidev.vax.incremental.croatia,1.1,True,2023-09-23T07:00:12,,
cowidev.vax.incremental.cuba,1.31,False,2023-09-23T07:02:02,"Traceback (most recent call last):
  File ""/home/owid/covid-19-data/scripts/src/cowidev/cmd/commons/get.py"", line 47, in run
    module.main()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/cuba.py"", line 82, in main
    Cuba().export()
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/cuba.py"", line 68, in export
    data = self.read().pipe(self.pipeline)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/cuba.py"", line 29, in read
    return self._parse_data(soup)
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/cuba.py"", line 34, in _parse_data
    ""date"": self._parse_date(soup),
  File ""/home/owid/covid-19-data/scripts/src/cowidev/vax/incremental/cuba.py"", line 41, in _parse_date
    date_str = match.group(1)
AttributeError: 'NoneType' object has no attribute 'group'
",'NoneType' object has no attribute 'group'
cowidev.vax.incremental.curacao,,,2023-09-23T07:00:11,,
cowidev.vax.incremental.cyprus,2.06,True,2023-09-23T07:00:13,,
